promotion_id,promotion_type,asin,promo_price,original_price,start,end
2ef28cba,Best Deal,B0BMQXCX1X,22.87,0.0,2026-03-10 00:00:00,2026-03-16 23:45:00
6b4f4563,Best Deal,B0CPJFC9BP,18.61,17.39,2025-12-26 00:00:00,2026-01-08 23:45:00
6b4f4563,Best Deal,B096W2GHQV,18.61,17.39,2025-12-26 00:00:00,2026-01-08 23:45:00
2ef28cba,Best Deal,B09JCMLXP5,22.02,20.58,2026-03-10 00:00:00,2026-03-16 23:45:00
941274b7,Best Deal,B076MBD6KQ,16.06,15.01,2026-05-24 00:00:00,2026-05-30 23:59:00
6b4f4563,Best Deal,B081TJ62WV,17.76,16.6,2025-12-26 00:00:00,2026-01-08 23:45:00
6e217478,Best Deal,B096W3WGCN,16.91,15.8,2026-03-10 00:00:00,2026-03-16 23:45:00
6b4f4563,Best Deal,B096W54FGM,15.22,14.22,2025-12-26 00:00:00,2026-01-08 23:45:00
2ef28cba,Best Deal,B086XBB126,16.05,15.0,2026-03-10 00:00:00,2026-03-16 23:45:00
23985374402,Coupon,B0CS6HDRFW,15.06,16.73,2026-02-17 00:00:00,2026-03-19 23:59:00
6e217478,Best Deal,B0CMV9BH8K,19.46,18.19,2026-03-10 00:00:00,2026-03-16 23:45:00
2ef28cba,Best Deal,B096W2GHQV,20.32,18.99,2026-03-10 00:00:00,2026-03-16 23:45:00
4a402a65,Best Deal,B08JC2YLYL,19.89,0.0,2026-02-22 00:00:00,2026-02-28 23:59:00
4a402a65,Best Deal,B08JC2YLYL,19.89,18.59,2026-02-22 00:00:00,2026-02-28 23:59:00
23985214102,Coupon,B096W3GD2S,21.22,22.34,2026-02-17 00:00:00,2026-03-17 23:59:00
2ef28cba,Best Deal,B09C6GDG72,19.47,0.0,2026-03-10 00:00:00,2026-03-16 23:45:00
6b4f4563,Best Deal,B09NRH4J1C,21.16,19.78,2025-12-26 00:00:00,2026-01-08 23:45:00
6e217478,Best Deal,B0BD81KP8K,16.06,15.01,2026-03-10 00:00:00,2026-03-16 23:45:00
6cbcc9bf,Best Deal,B08JC9XBGM,19.89,0.0,2026-02-22 00:00:00,2026-02-28 23:59:00
2555ceb3,Best Deal,B086XBB126,16.05,15.0,2026-04-19 00:00:00,2026-04-25 23:59:00
